median_income,housing_median_age,latitude,longitude,households,median_house_value
1.8516,52.0,37.81,-122.3,82.0,85000.0
0.9802,46.0,37.81,-122.29,611.0,129200.0
1.7719,26.0,37.81,-122.29,127.0,82500.0
0.7286,46.0,37.81,-122.29,277.0,95200.0
1.75,49.0,37.81,-122.29,152.0,75000.0
0.4999,46.0,37.81,-122.29,7.0,67500.0
2.483,20.0,37.81,-122.29,133.0,137500.0
0.9241,17.0,37.81,-122.28,439.0,177500.0
2.4464,36.0,37.81,-122.28,509.0,102100.0
1.1111,19.0,37.81,-122.28,207.0,108300.0
0.8026,23.0,37.81,-122.29,325.0,112500.0
2.0114,38.0,37.8,-122.28,155.0,131300.0
1.5,17.0,37.81,-122.28,289.0,162500.0
1.1667,52.0,37.81,-122.27,56.0,112500.0
1.5208,52.0,37.81,-122.28,87.0,112500.0
0.8075,52.0,37.81,-122.28,155.0,137500.0
1.8088,35.0,37.81,-122.28,169.0,118800.0
2.4083,52.0,37.81,-122.28,115.0,98200.0
0.977,40.0,37.81,-122.27,380.0,118800.0
0.76,10.0,37.81,-122.27,330.0,162500.0
0.9722,10.0,37.8,-122.27,39.0,137500.0
1.2434,52.0,37.8,-122.27,85.0,500001.0
2.0938,16.0,37.8,-122.27,362.0,162500.0
0.8668,52.0,37.8,-122.28,88.0,137500.0
0.75,52.0,37.8,-122.28,34.0,162500.0
2.6354,27.0,37.79,-122.27,302.0,187500.0
1.8477,39.0,37.8,-122.27,467.0,179200.0
2.0096,36.0,37.8,-122.26,2323.0,130000.0
2.8345,31.0,37.82,-122.26,1180.0,183800.0
2.0062,29.0,37.81,-122.26,91.0,125000.0
1.2185,22.0,37.82,-122.26,1250.0,170000.0
2.6104,37.0,37.82,-122.26,980.0,193100.0
2.4912,29.0,37.81,-122.25,1250.0,257800.0
3.2177,28.0,37.81,-122.25,1497.0,273400.0
3.125,39.0,37.81,-122.25,228.0,237500.0
2.5795,52.0,37.81,-122.25,613.0,350000.0
2.8406,34.0,37.81,-122.26,1789.0,335700.0
4.9306,52.0,37.82,-122.24,244.0,313400.0
3.2727,52.0,37.81,-122.24,456.0,268500.0
3.1691,52.0,37.81,-122.25,422.0,259400.0
3.9,52.0,37.82,-122.24,718.0,275700.0
3.9063,28.0,37.82,-122.25,802.0,225000.0
5.0917,52.0,37.82,-122.25,253.0,262500.0
2.6429,32.0,37.82,-122.25,1022.0,218500.0
3.0233,26.0,37.82,-122.25,1217.0,255000.0
3.1484,52.0,37.83,-122.25,519.0,224100.0
3.4722,35.0,37.83,-122.25,422.0,243100.0
3.1429,52.0,37.83,-122.25,291.0,231600.0
2.4234,28.0,37.83,-122.25,1661.0,218500.0
3.0897,52.0,37.83,-122.25,1037.0,234100.0
5.8596,50.0,37.84,-122.23,373.0,327600.0
5.2868,47.0,37.84,-122.23,485.0,347600.0
5.956,41.0,37.83,-122.24,376.0,366100.0
4.9643,37.0,37.85,-122.24,47.0,335000.0
6.3434,52.0,37.85,-122.23,403.0,373600.0
5.1773,52.0,37.84,-122.24,555.0,389500.0
7.2354,52.0,37.85,-122.24,367.0,391100.0
5.457,28.0,37.85,-122.22,956.0,337300.0
7.5,50.0,37.84,-122.22,479.0,295200.0
6.0194,44.0,37.84,-122.21,597.0,292300.0
7.5544,40.0,37.83,-122.21,654.0,411500.0
6.0666,30.0,37.84,-122.2,343.0,311500.0
7.0548,34.0,37.84,-122.21,496.0,325900.0
11.6017,18.0,37.84,-122.19,194.0,392600.0
7.4882,35.0,37.84,-122.2,443.0,319300.0
6.8976,34.0,37.83,-122.21,766.0,333300.0
8.2049,28.0,37.83,-122.19,190.0,335200.0
8.401,26.0,37.83,-122.2,211.0,351200.0
6.8538,29.0,37.83,-122.19,269.0,368900.0
8.317,32.0,37.82,-122.19,263.0,365900.0
7.0175,37.0,37.82,-122.2,176.0,366700.0
6.3302,39.0,37.82,-122.2,500.0,362800.0
6.3624,30.0,37.81,-122.18,52.0,483300.0
7.0549,52.0,37.82,-122.21,350.0,331400.0
6.7851,45.0,37.81,-122.2,426.0,323500.0
2.8929,50.0,37.8,-122.21,552.0,216700.0
3.0812,38.0,37.8,-122.21,487.0,233100.0
5.2402,52.0,37.81,-122.21,224.0,296400.0
6.5217,52.0,37.81,-122.22,308.0,273700.0
3.2632,52.0,37.8,-122.22,460.0,227700.0
3.0298,52.0,37.8,-122.22,441.0,199600.0
4.5428,52.0,37.8,-122.22,515.0,239800.0
4.072,52.0,37.81,-122.22,340.0,270100.0
5.3509,52.0,37.81,-122.22,521.0,302100.0
3.1603,52.0,37.8,-122.23,459.0,269500.0
4.7708,52.0,37.81,-122.23,213.0,314700.0
8.1564,52.0,37.81,-122.22,380.0,390100.0
8.8793,52.0,37.81,-122.23,258.0,410300.0
6.8591,52.0,37.81,-122.24,327.0,352400.0
6.0302,52.0,37.81,-122.24,256.0,287300.0
7.508,52.0,37.81,-122.23,352.0,348700.0
2.7477,52.0,37.81,-122.24,483.0,243800.0
2.1944,52.0,37.8,-122.24,175.0,211500.0
3.0149,52.0,37.8,-122.25,488.0,218400.0
3.675,52.0,37.81,-122.24,518.0,269900.0
3.225,46.0,37.81,-122.25,747.0,218800.0
2.9345,42.0,37.8,-122.25,1015.0,225000.0
2.1429,43.0,37.8,-122.25,722.0,250000.0
1.6121,41.0,37.8,-122.25,413.0,171400.0
1.3929,29.0,37.8,-122.25,773.0,193800.0
2.3173,27.0,37.79,-122.24,429.0,125000.0
1.7772,45.0,37.79,-122.25,460.0,97500.0
2.6458,50.0,37.79,-122.25,196.0,125000.0
2.181,52.0,37.79,-122.25,363.0,138800.0
2.2303,36.0,37.8,-122.25,543.0,116700.0
1.6504,43.0,37.8,-122.25,644.0,151800.0
2.2697,52.0,37.8,-122.24,228.0,127000.0
2.1563,52.0,37.8,-122.24,347.0,128600.0
2.1348,52.0,37.8,-122.24,335.0,140600.0
2.6292,47.0,37.8,-122.24,554.0,182700.0
2.3833,52.0,37.8,-122.23,257.0,146900.0
2.957,52.0,37.8,-122.24,401.0,122800.0
2.5238,49.0,37.8,-122.24,677.0,169300.0
1.9375,52.0,37.8,-122.23,186.0,126600.0
1.9028,51.0,37.8,-122.23,392.0,127900.0
2.25,50.0,37.8,-122.23,415.0,123500.0
2.3929,52.0,37.8,-122.23,280.0,111900.0
2.1917,43.0,37.79,-122.23,1231.0,112800.0
2.9357,52.0,37.79,-122.23,412.0,107900.0
1.8854,30.0,37.79,-122.23,263.0,137500.0
2.1638,39.0,37.79,-122.24,389.0,105500.0
2.125,47.0,37.79,-122.24,303.0,95500.0
3.375,52.0,37.79,-122.24,168.0,116100.0
2.2542,43.0,37.79,-122.24,357.0,112200.0
2.1,51.0,37.79,-122.25,55.0,75000.0
1.6,39.0,37.79,-122.25,123.0,112500.0
3.625,52.0,37.79,-122.25,227.0,125000.0
1.6929,20.0,37.8,-122.26,676.0,115000.0
1.6471,52.0,37.77,-122.22,138.0,95000.0
2.59,52.0,37.77,-122.22,259.0,96400.0
2.57,52.0,37.77,-122.23,183.0,72000.0
2.6429,52.0,37.78,-122.23,126.0,71300.0
3.0257,52.0,37.78,-122.23,213.0,80800.0
1.4886,50.0,37.78,-122.22,477.0,128800.0
1.9338,43.0,37.78,-122.23,438.0,112500.0
1.4844,52.0,37.78,-122.23,255.0,119400.0
1.6009,44.0,37.78,-122.23,751.0,118100.0
2.0375,48.0,37.79,-122.23,343.0,122500.0
2.293,49.0,37.79,-122.23,219.0,106300.0
2.1494,37.0,37.79,-122.22,523.0,132500.0
1.6198,30.0,37.79,-122.23,140.0,122700.0
1.3281,40.0,37.79,-122.23,184.0,113300.0
3.5156,44.0,37.79,-122.22,272.0,109500.0
3.9048,52.0,37.79,-122.22,685.0,164700.0
3.0893,52.0,37.79,-122.21,195.0,125000.0
2.6042,46.0,37.79,-122.22,527.0,124700.0
2.5,49.0,37.79,-122.22,424.0,136700.0
2.7969,38.0,37.79,-122.22,659.0,141700.0
2.8321,29.0,37.79,-122.2,340.0,150000.0
2.9583,47.0,37.79,-122.21,292.0,138800.0
2.8365,34.0,37.79,-122.21,516.0,139200.0
2.875,35.0,37.79,-122.21,386.0,143800.0
3.0682,39.0,37.8,-122.21,464.0,156500.0
3.0757,39.0,37.8,-122.21,446.0,151000.0
4.9559,43.0,37.8,-122.2,455.0,273000.0
4.7721,52.0,37.8,-122.2,268.0,217100.0
3.4861,52.0,37.8,-122.21,706.0,187100.0
5.1184,41.0,37.8,-122.2,340.0,239600.0
4.0977,48.0,37.8,-122.21,252.0,229700.0
4.744,48.0,37.8,-122.19,238.0,257300.0
4.2727,46.0,37.8,-122.19,332.0,246900.0
2.9844,50.0,37.79,-122.19,184.0,179900.0
4.1739,40.0,37.79,-122.2,235.0,169600.0
3.8487,46.0,37.8,-122.2,399.0,203300.0
4.0114,52.0,37.8,-122.19,277.0,263400.0
4.6563,45.0,37.79,-122.19,454.0,231800.0
2.9297,28.0,37.79,-122.19,669.0,140500.0
2.3036,35.0,37.79,-122.2,390.0,126000.0
2.6667,49.0,37.79,-122.2,210.0,122000.0
2.619,44.0,37.79,-122.2,491.0,134700.0
2.4167,45.0,37.79,-122.21,474.0,139400.0
2.7788,45.0,37.79,-122.2,480.0,115400.0
2.7352,46.0,37.78,-122.21,569.0,137300.0
1.8472,52.0,37.78,-122.21,269.0,137000.0
2.6583,52.0,37.78,-122.21,245.0,142600.0
3.0536,49.0,37.78,-122.21,245.0,137500.0
2.3906,44.0,37.78,-122.22,610.0,111700.0
1.7188,43.0,37.78,-122.21,407.0,126800.0
2.625,47.0,37.78,-122.21,241.0,111300.0
2.8015,40.0,37.77,-122.22,135.0,114800.0
1.7276,50.0,37.78,-122.22,440.0,102300.0
2.0801,44.0,37.78,-122.22,495.0,131900.0
2.489,51.0,37.78,-122.22,393.0,119100.0
1.7546,52.0,37.76,-122.21,300.0,80600.0
4.0904,52.0,37.77,-122.21,137.0,80600.0
2.6765,52.0,37.77,-122.21,149.0,88800.0
2.4338,49.0,37.77,-122.2,483.0,102400.0
2.3309,46.0,37.77,-122.21,354.0,98700.0
2.2604,43.0,37.77,-122.21,277.0,100000.0
1.8039,42.0,37.77,-122.19,263.0,92300.0
2.2562,39.0,37.77,-122.2,537.0,94800.0
2.0562,41.0,37.77,-122.2,341.0,102000.0
3.5398,52.0,37.78,-122.2,423.0,158400.0
3.1167,39.0,37.78,-122.2,376.0,121600.0
2.5401,50.0,37.78,-122.2,378.0,129100.0
2.898,43.0,37.77,-122.2,484.0,121400.0
2.3125,44.0,37.78,-122.21,393.0,102800.0
2.875,52.0,37.78,-122.19,168.0,160000.0
3.3715,52.0,37.77,-122.19,425.0,143900.0
3.5114,52.0,37.77,-122.19,417.0,151200.0
4.3125,52.0,37.78,-122.19,375.0,164400.0
3.22,52.0,37.78,-122.19,369.0,156500.0
3.875,33.0,37.78,-122.18,47.0,225000.0
5.2328,49.0,37.78,-122.19,209.0,174200.0
3.7262,52.0,37.78,-122.19,190.0,166900.0
4.5893,45.0,37.78,-122.2,327.0,163500.0
5.2578,39.0,37.79,-122.18,106.0,253000.0
7.0875,41.0,37.79,-122.18,214.0,240700.0
3.9712,46.0,37.79,-122.18,329.0,208100.0
2.9514,47.0,37.79,-122.19,256.0,198100.0
2.6667,50.0,37.79,-122.19,201.0,172800.0
5.4446,37.0,37.81,-122.18,266.0,336700.0
6.2838,34.0,37.8,-122.18,195.0,318200.0
6.7527,23.0,37.8,-122.18,328.0,285800.0
7.0712,24.0,37.77,-122.13,324.0,293000.0
5.9849,22.0,37.79,-122.16,1967.0,371000.0
3.6875,42.0,37.78,-122.17,267.0,157300.0
2.875,30.0,37.77,-122.17,703.0,135300.0
3.4205,43.0,37.78,-122.18,407.0,136700.0
3.2984,50.0,37.78,-122.18,284.0,160700.0
3.875,49.0,37.78,-122.17,181.0,140600.0
4.175,52.0,37.78,-122.17,121.0,144000.0
4.375,47.0,37.77,-122.16,218.0,161900.0
4.7708,48.0,37.77,-122.16,180.0,156300.0
3.5739,45.0,37.77,-122.16,384.0,176000.0
3.0958,39.0,37.77,-122.16,316.0,145800.0
3.3958,39.0,37.77,-122.17,322.0,141900.0
1.871,31.0,37.77,-122.17,452.0,90700.0
1.9356,41.0,37.76,-122.17,355.0,90600.0
2.1842,47.0,37.76,-122.17,382.0,107900.0
2.2917,37.0,37.76,-122.18,320.0,107000.0
2.4333,38.0,37.76,-122.17,354.0,98200.0
1.9479,50.0,37.76,-122.18,246.0,89500.0
3.9063,52.0,37.76,-122.18,165.0,93800.0
1.8407,49.0,37.76,-122.18,451.0,96700.0
2.0786,27.0,37.77,-122.18,157.0,97500.0
2.8125,42.0,37.77,-122.18,268.0,97300.0
1.8913,43.0,37.76,-122.18,367.0,91200.0
1.7056,49.0,37.76,-122.19,269.0,91400.0
2.2768,52.0,37.77,-122.18,554.0,96200.0
3.2552,51.0,37.77,-122.18,438.0,120100.0
2.0556,52.0,37.77,-122.18,366.0,100000.0
2.4659,52.0,37.76,-122.19,350.0,94700.0
1.75,47.0,37.76,-122.2,279.0,85700.0
2.0469,41.0,37.77,-122.19,454.0,89300.0
2.7159,45.0,37.77,-122.19,349.0,101400.0
1.2083,41.0,37.76,-122.19,159.0,72500.0
1.925,45.0,37.76,-122.19,237.0,74100.0
1.5809,36.0,37.75,-122.2,133.0,70000.0
1.4097,37.0,37.76,-122.2,667.0,84600.0
0.7683,38.0,37.76,-122.19,351.0,81800.0
1.3194,19.0,37.75,-122.19,520.0,81400.0
0.8012,28.0,37.75,-122.19,162.0,81800.0
1.9479,26.0,37.76,-122.19,303.0,85800.0
1.1765,36.0,37.74,-122.19,159.0,87100.0
2.3456,42.0,37.74,-122.18,123.0,83500.0
2.1538,44.0,37.73,-122.19,244.0,79700.0
2.5139,43.0,37.74,-122.19,155.0,83400.0
1.2625,45.0,37.73,-122.19,287.0,84700.0
2.9063,42.0,37.73,-122.18,198.0,80000.0
2.5192,43.0,37.73,-122.18,285.0,76400.0
2.1111,44.0,37.73,-122.18,136.0,79700.0
2.455,42.0,37.73,-122.18,780.0,82400.0
2.4028,41.0,37.74,-122.17,414.0,97700.0
2.15,47.0,37.74,-122.17,137.0,97200.0
2.4776,43.0,37.74,-122.17,179.0,101600.0
2.1587,43.0,37.73,-122.17,341.0,86500.0
1.8438,35.0,37.74,-122.18,109.0,90500.0
3.0298,46.0,37.74,-122.17,225.0,107600.0
2.25,46.0,37.74,-122.17,178.0,84200.0
2.2467,46.0,37.74,-122.18,354.0,88900.0
4.0469,45.0,37.75,-122.18,80.0,80700.0
1.325,46.0,37.75,-122.18,195.0,87100.0
1.6196,38.0,37.75,-122.17,259.0,85100.0
2.1731,45.0,37.75,-122.18,260.0,82000.0
1.9167,36.0,37.75,-122.19,150.0,82800.0
2.069,43.0,37.75,-122.18,213.0,84600.0
1.712,36.0,37.75,-122.18,166.0,82100.0
2.5625,33.0,37.76,-122.17,286.0,89300.0
1.9821,43.0,37.75,-122.17,306.0,98300.0
2.5043,41.0,37.75,-122.17,230.0,92300.0
2.3281,44.0,37.75,-122.17,254.0,88800.0
1.4375,48.0,37.75,-122.17,349.0,90000.0
2.5122,45.0,37.76,-122.16,484.0,95500.0
1.5625,38.0,37.75,-122.16,482.0,91700.0
3.1587,47.0,37.75,-122.17,185.0,100400.0
1.8426,40.0,37.76,-122.17,342.0,94800.0
4.6696,46.0,37.76,-122.16,302.0,164300.0
2.4598,36.0,37.76,-122.16,519.0,155500.0
6.0749,39.0,37.76,-122.15,270.0,196900.0
4.8304,27.0,37.77,-122.14,355.0,279100.0
5.5701,34.0,37.76,-122.14,211.0,252800.0
5.37,26.0,37.76,-122.13,533.0,275400.0
6.86,33.0,37.75,-122.12,219.0,250000.0
7.6923,28.0,37.75,-122.12,109.0,329800.0
4.0313,36.0,37.75,-122.14,109.0,195500.0
6.8323,33.0,37.75,-122.14,202.0,255900.0
4.975,30.0,37.75,-122.13,50.0,311100.0
5.3602,36.0,37.75,-122.13,93.0,330000.0
5.0,41.0,37.74,-122.13,648.0,248900.0
2.925,46.0,37.75,-122.16,154.0,142900.0
3.8913,40.0,37.75,-122.15,255.0,126300.0
3.225,44.0,37.75,-122.15,331.0,135800.0
3.1458,41.0,37.74,-122.15,191.0,130600.0
2.537,24.0,37.75,-122.16,386.0,107900.0
2.5568,44.0,37.75,-122.16,135.0,111100.0
3.5083,43.0,37.74,-122.15,272.0,122000.0
3.3125,49.0,37.74,-122.15,282.0,118000.0
1.8235,40.0,37.75,-122.16,261.0,95200.0
3.8047,35.0,37.75,-122.16,133.0,94300.0
2.2917,34.0,37.74,-122.17,280.0,92500.0
2.4962,37.0,37.75,-122.17,259.0,91800.0
4.0417,43.0,37.74,-122.16,295.0,109400.0
3.4844,46.0,37.74,-122.16,211.0,129500.0
4.1458,52.0,37.74,-122.16,144.0,143400.0
2.625,47.0,37.74,-122.16,166.0,98200.0
2.0227,44.0,37.74,-122.16,215.0,103100.0
3.3333,49.0,37.9,-122.29,236.0,276800.0
5.338,52.0,37.9,-122.29,286.0,270900.0
3.4732,52.0,37.89,-122.29,377.0,246200.0
3.5125,38.0,37.9,-122.3,509.0,224200.0
3.1375,52.0,37.89,-122.29,326.0,229100.0
2.8036,46.0,37.89,-122.3,375.0,211600.0
4.5824,15.0,37.9,-122.3,1146.0,256100.0
3.0208,36.0,37.89,-122.3,276.0,206300.0
4.0875,52.0,37.89,-122.3,275.0,221300.0
4.5268,42.0,37.89,-122.33,266.0,207400.0
1.7375,37.0,37.88,-122.34,924.0,350000.0
3.1795,52.0,37.89,-122.29,696.0,218200.0
3.8672,50.0,37.88,-122.29,227.0,216700.0
5.1675,52.0,37.89,-122.29,153.0,270600.0
5.1696,52.0,37.89,-122.29,371.0,261400.0
4.2614,52.0,37.88,-122.28,334.0,261300.0
5.0551,52.0,37.89,-122.29,423.0,232200.0
5.6228,42.0,37.9,-122.27,256.0,375400.0
7.8864,52.0,37.9,-122.26,288.0,357300.0
7.9556,52.0,37.9,-122.27,275.0,374400.0
6.174,52.0,37.9,-122.27,236.0,358800.0
6.9414,52.0,37.9,-122.27,253.0,417500.0
8.8342,52.0,37.89,-122.27,365.0,430500.0
7.1754,52.0,37.9,-122.28,312.0,362900.0
10.0825,52.0,37.9,-122.28,244.0,397000.0
4.9083,52.0,37.9,-122.28,335.0,346800.0
5.7912,52.0,37.89,-122.28,168.0,327100.0
4.5893,52.0,37.89,-122.28,369.0,290100.0
5.4171,52.0,37.89,-122.28,306.0,292000.0
4.125,52.0,37.89,-122.28,487.0,270900.0
7.266,52.0,37.89,-122.27,355.0,371100.0
5.3989,52.0,37.89,-122.27,272.0,335600.0
7.8336,37.0,37.9,-122.26,362.0,371300.0
6.1593,41.0,37.89,-122.25,181.0,344000.0
6.381,52.0,37.89,-122.26,462.0,342200.0
6.6828,52.0,37.89,-122.26,504.0,370900.0
7.5385,37.0,37.89,-122.25,450.0,350000.0
6.7138,42.0,37.89,-122.25,448.0,368600.0
6.2425,52.0,37.88,-122.26,404.0,391800.0
5.7979,52.0,37.88,-122.26,377.0,415300.0
4.2813,52.0,37.88,-122.27,621.0,284900.0
3.5417,52.0,37.88,-122.27,367.0,287500.0
3.0132,44.0,37.88,-122.27,550.0,272900.0
4.1429,52.0,37.88,-122.28,464.0,259600.0
4.1912,52.0,37.88,-122.28,207.0,254500.0
3.9167,52.0,37.88,-122.28,218.0,235600.0
3.8897,52.0,37.88,-122.29,388.0,218400.0
3.1065,48.0,37.88,-122.29,475.0,229200.0
2.9926,46.0,37.88,-122.29,425.0,192100.0
3.556,52.0,37.88,-122.29,380.0,179300.0
1.475,45.0,37.88,-122.3,137.0,187500.0
1.6971,52.0,37.88,-122.3,98.0,138800.0
2.1705,10.0,37.87,-122.3,100.0,150000.0
2.75,50.0,37.86,-122.3,128.0,140600.0
2.5682,52.0,37.85,-122.29,106.0,120000.0
2.9,46.0,37.88,-122.3,355.0,144800.0
2.2208,52.0,37.87,-122.3,684.0,144800.0
3.2344,52.0,37.88,-122.28,172.0,245500.0
3.5156,52.0,37.87,-122.28,131.0,200000.0
1.9805,49.0,37.87,-122.28,521.0,173700.0
2.6684,50.0,37.87,-122.29,516.0,185600.0
3.875,52.0,37.87,-122.29,204.0,182600.0
3.006,52.0,37.88,-122.28,406.0,227900.0
2.543,46.0,37.87,-122.28,675.0,220700.0
2.8676,46.0,37.87,-122.28,431.0,212000.0
2.1907,52.0,37.88,-122.27,876.0,271400.0
1.7778,30.0,37.87,-122.27,425.0,268800.0
2.52,37.0,37.88,-122.27,616.0,277800.0
4.2788,52.0,37.88,-122.26,249.0,332500.0
2.944,52.0,37.88,-122.26,573.0,338900.0
1.725,52.0,37.88,-122.26,769.0,287500.0
5.2289,41.0,37.87,-122.25,123.0,384600.0
2.5562,42.0,37.87,-122.25,422.0,371400.0
0.949,52.0,37.87,-122.25,477.0,350000.0
1.1696,52.0,37.87,-122.25,250.0,500001.0
1.4012,52.0,37.87,-122.26,350.0,175000.0
1.1859,52.0,37.87,-122.26,949.0,241700.0
1.7464,35.0,37.87,-122.27,1000.0,216700.0
2.8846,49.0,37.87,-122.27,350.0,211300.0
2.7372,52.0,37.87,-122.27,694.0,210200.0
3.8594,52.0,37.86,-122.28,189.0,196400.0
3.5625,52.0,37.87,-122.28,339.0,191700.0
2.2788,52.0,37.87,-122.28,292.0,182300.0
2.537,44.0,37.87,-122.29,713.0,175000.0
2.525,46.0,37.87,-122.29,321.0,165900.0
1.9946,52.0,37.86,-122.29,372.0,156900.0
2.8214,52.0,37.86,-122.28,346.0,164300.0
2.6165,52.0,37.87,-122.29,430.0,150000.0
1.9483,50.0,37.86,-122.29,563.0,150500.0
1.9327,52.0,37.86,-122.28,445.0,169900.0
1.9798,49.0,37.86,-122.28,608.0,147400.0
2.4167,52.0,37.85,-122.28,449.0,152700.0
2.5417,49.0,37.86,-122.27,414.0,182700.0
3.3906,52.0,37.86,-122.28,358.0,179300.0
2.5652,52.0,37.86,-122.28,636.0,157700.0
2.2845,41.0,37.86,-122.28,568.0,153100.0
2.6071,52.0,37.86,-122.27,267.0,250000.0
3.15,52.0,37.86,-122.27,175.0,206300.0
2.6914,52.0,37.86,-122.27,365.0,218800.0
1.8447,52.0,37.86,-122.27,548.0,198200.0
1.6307,35.0,37.86,-122.26,1742.0,253600.0
2.9044,52.0,37.86,-122.26,794.0,257400.0
2.9405,52.0,37.86,-122.26,679.0,289500.0
3.3893,52.0,37.86,-122.26,538.0,241700.0
3.0417,48.0,37.86,-122.25,459.0,489600.0
7.0897,52.0,37.86,-122.25,202.0,446200.0
5.0463,52.0,37.86,-122.25,295.0,456300.0
1.7652,52.0,37.86,-122.25,449.0,336800.0
7.8521,52.0,37.86,-122.24,214.0,500001.0
9.3959,52.0,37.85,-122.24,496.0,500001.0
5.3794,52.0,37.86,-122.25,590.0,376900.0
3.2619,52.0,37.85,-122.26,755.0,309600.0
2.7054,52.0,37.85,-122.27,815.0,182300.0
2.2431,47.0,37.85,-122.27,326.0,172700.0
1.9028,50.0,37.85,-122.27,255.0,150800.0
1.5817,52.0,37.85,-122.27,363.0,153600.0
2.2841,52.0,37.85,-122.27,77.0,106300.0
1.3785,47.0,37.85,-122.27,319.0,142300.0
2.9018,52.0,37.85,-122.28,132.0,119400.0
1.73,44.0,37.85,-122.28,204.0,147900.0
2.2625,48.0,37.85,-122.28,466.0,132900.0
2.2106,35.0,37.84,-122.29,414.0,132500.0
2.6997,52.0,37.83,-122.28,765.0,126900.0
4.0018,14.0,37.84,-122.3,2051.0,143800.0
7.8772,52.0,37.83,-122.23,361.0,500001.0
11.8603,39.0,37.82,-122.22,315.0,500001.0
13.499,42.0,37.82,-122.22,335.0,500001.0
12.2138,52.0,37.82,-122.23,352.0,500001.0
8.1872,52.0,37.82,-122.23,369.0,466100.0
12.3804,52.0,37.82,-122.23,383.0,500001.0
5.8948,52.0,37.83,-122.24,227.0,457800.0
8.1194,52.0,37.83,-122.24,316.0,471600.0
8.7477,52.0,37.82,-122.23,179.0,500001.0
6.155,52.0,37.82,-122.24,520.0,398600.0
